tolerance,order,eligibility,label,shadow_nb,shadow_nb_lo,shadow_nb_hi,shadow_decision,online_nb,online_nb_lo,online_nb_hi,online_guarded,online_first_deploy,online_first_harm
0.0,success>agent_tokens_completion>n_assistant_tool_calls,absorbing,"primary order, absorbing",0.005102040816326536,-0.1107687809027074,0.12097286253536048,inconclusive,0.020408163265306117,-0.3660352820036362,0.40631790063819107,inconclusive,,
0.0,success>n_assistant_tool_calls>agent_tokens_completion,absorbing,"steps before tokens, absorbing",0.005102040816326536,-0.1107687809027074,0.12097286253536048,inconclusive,0.020408163265306117,-0.3660352820036362,0.40631790063819107,inconclusive,,
0.0,success>duration>agent_tokens_completion,absorbing,"duration as tier 2, absorbing",0.015306122448979581,-0.10048899143987494,0.1311012363378341,inconclusive,0.020408163265306117,-0.3660352820036362,0.40631790063819107,inconclusive,,
0.0,success>agent_tokens_completion>n_assistant_tool_calls,none,"lexicographic, non-absorbing (failures ranked by cost)",0.13265306122448967,-0.08232384031478487,0.34762996276376423,inconclusive,0.3469387755102041,-0.16174251814277807,0.7973778685744928,inconclusive,,
0.0,agent_tokens_completion>success>n_assistant_tool_calls,none,"token-first (H4), no eligibility mask",0.18367346938775503,-0.02298393583440353,0.39033087460991356,inconclusive,0.4285714285714286,-0.07640369875090461,0.8645753690174649,inconclusive,,
0.05,success>agent_tokens_completion>n_assistant_tool_calls,absorbing,"primary order, absorbing",0.005102040816326536,-0.1107687809027074,0.12097286253536048,inconclusive,0.020408163265306117,-0.3660352820036362,0.40631790063819107,inconclusive,,
0.05,success>n_assistant_tool_calls>agent_tokens_completion,absorbing,"steps before tokens, absorbing",0.005102040816326536,-0.1107687809027074,0.12097286253536048,inconclusive,0.020408163265306117,-0.3660352820036362,0.40631790063819107,inconclusive,,
0.05,success>duration>agent_tokens_completion,absorbing,"duration as tier 2, absorbing",0.015306122448979581,-0.10048899143987494,0.1311012363378341,inconclusive,0.020408163265306117,-0.3660352820036362,0.40631790063819107,inconclusive,,
0.05,success>agent_tokens_completion>n_assistant_tool_calls,none,"lexicographic, non-absorbing (failures ranked by cost)",0.14795918367346939,-0.0654208765671351,0.3613392439140739,inconclusive,0.3469387755102041,-0.16174251814277807,0.7973778685744928,inconclusive,,
0.05,agent_tokens_completion>success>n_assistant_tool_calls,none,"token-first (H4), no eligibility mask",0.19897959183673464,-0.009851770239679453,0.4078109539131487,inconclusive,0.4285714285714286,-0.07640369875090461,0.8645753690174649,inconclusive,,
0.1,success>agent_tokens_completion>n_assistant_tool_calls,absorbing,"primary order, absorbing",0.005102040816326536,-0.1107687809027074,0.12097286253536048,inconclusive,0.020408163265306117,-0.3660352820036362,0.40631790063819107,inconclusive,,
0.1,success>n_assistant_tool_calls>agent_tokens_completion,absorbing,"steps before tokens, absorbing",0.005102040816326536,-0.1107687809027074,0.12097286253536048,inconclusive,0.020408163265306117,-0.3660352820036362,0.40631790063819107,inconclusive,,
0.1,success>duration>agent_tokens_completion,absorbing,"duration as tier 2, absorbing",0.015306122448979581,-0.10048899143987494,0.1311012363378341,inconclusive,0.020408163265306117,-0.3660352820036362,0.40631790063819107,inconclusive,,
0.1,success>agent_tokens_completion>n_assistant_tool_calls,none,"lexicographic, non-absorbing (failures ranked by cost)",0.16326530612244905,-0.049425251047630236,0.37595586329252834,inconclusive,0.3877551020408163,-0.11945601263824776,0.8311316419620902,inconclusive,,
0.1,agent_tokens_completion>success>n_assistant_tool_calls,none,"token-first (H4), no eligibility mask",0.21428571428571425,0.01491773920730835,0.41365368936412017,B,0.46938775510204084,-0.032526135444641086,0.897719528602094,inconclusive,,
0.2,success>agent_tokens_completion>n_assistant_tool_calls,absorbing,"primary order, absorbing",0.005102040816326536,-0.1107687809027074,0.12097286253536048,inconclusive,0.020408163265306117,-0.3660352820036362,0.40631790063819107,inconclusive,,
0.2,success>n_assistant_tool_calls>agent_tokens_completion,absorbing,"steps before tokens, absorbing",0.005102040816326536,-0.1107687809027074,0.12097286253536048,inconclusive,0.020408163265306117,-0.3660352820036362,0.40631790063819107,inconclusive,,
0.2,success>duration>agent_tokens_completion,absorbing,"duration as tier 2, absorbing",0.015306122448979581,-0.10048899143987494,0.1311012363378341,inconclusive,0.020408163265306117,-0.3660352820036362,0.40631790063819107,inconclusive,,
0.2,success>agent_tokens_completion>n_assistant_tool_calls,none,"lexicographic, non-absorbing (failures ranked by cost)",0.173469387755102,-0.04155849846449075,0.3884972739746948,inconclusive,0.3469387755102041,-0.16174251814277807,0.7973778685744928,inconclusive,,
0.2,agent_tokens_completion>success>n_assistant_tool_calls,none,"token-first (H4), no eligibility mask",0.21428571428571425,0.01065270083412062,0.41791872773730787,B,0.46938775510204084,-0.032526135444641086,0.897719528602094,inconclusive,,
