arm,task,trial,tau2_seed,invocation_index,invocation_id,invocation_started_utc,pre_amendment,amendment_in_force,agent_max_tokens,user_max_tokens,tau2_simulation_timeout_s,runner_sha256,n_attempts_all_invocations,n_discarded_attempts,canonical_termination_reason,reward,success,record_start_utc,record_end_utc,duration_s,max_agent_completion_tokens,max_user_completion_tokens,n_agent_responses_finish_length,n_user_responses_finish_length,unit_design_pair_index,this_arm_episode_design_pass,this_arm_episode_enters_E1_pairs
A,1,0,626729,1,48c09d0c334b4d4c8a7f468ad211d6c6,2026-09-18T17:38:26Z,true,none,not sent,not sent,none,215e943a371a778900033586a28cd00b7e0f49f77966354ff3d2b6913c1c06ee,1,0,user_stop,0.0,false,2026-09-18T17:38:44Z,2026-09-18T17:39:31Z,46.876,85,48,0,0,24,2,false
A,2,0,626729,1,48c09d0c334b4d4c8a7f468ad211d6c6,2026-09-18T17:38:26Z,true,none,not sent,not sent,none,215e943a371a778900033586a28cd00b7e0f49f77966354ff3d2b6913c1c06ee,1,0,too_many_errors,0.0,false,2026-09-18T17:39:32Z,2026-09-18T17:46:44Z,432.344,514,205,0,0,20,2,false
A,3,0,626729,1,48c09d0c334b4d4c8a7f468ad211d6c6,2026-09-18T17:38:26Z,true,none,not sent,not sent,none,215e943a371a778900033586a28cd00b7e0f49f77966354ff3d2b6913c1c06ee,1,0,user_stop,1.0,true,2026-09-18T17:46:44Z,2026-09-18T17:48:16Z,91.9,179,91,0,0,12,2,false
A,4,0,626729,1,48c09d0c334b4d4c8a7f468ad211d6c6,2026-09-18T17:38:26Z,true,none,not sent,not sent,none,215e943a371a778900033586a28cd00b7e0f49f77966354ff3d2b6913c1c06ee,1,0,user_stop,1.0,true,2026-09-18T17:48:16Z,2026-09-18T17:49:15Z,59.098,120,70,0,0,24,1,true
A,5,0,626729,1,48c09d0c334b4d4c8a7f468ad211d6c6,2026-09-18T17:38:26Z,true,none,not sent,not sent,none,215e943a371a778900033586a28cd00b7e0f49f77966354ff3d2b6913c1c06ee,1,0,user_stop,0.0,false,2026-09-18T17:49:15Z,2026-09-18T17:51:05Z,109.907,308,56,0,0,10,1,true
A,6,0,626729,2,0bf28fc9101f442a806c625dbdbe47c7,2026-09-18T20:33:06Z,false,1,1024,1024,1800,27797f68e2aff6e088d0300f4be9baac903ef34b71ec84116125c2fa664ff75c,7,7,infrastructure_error,,false,2026-09-18T20:37:59Z,2026-09-18T20:37:59Z,0.0,0,0,0,0,11,2,false
A,7,0,626729,2,0bf28fc9101f442a806c625dbdbe47c7,2026-09-18T20:33:06Z,false,1,1024,1024,1800,27797f68e2aff6e088d0300f4be9baac903ef34b71ec84116125c2fa664ff75c,1,0,user_stop,0.0,false,2026-09-18T20:37:59Z,2026-09-18T20:38:32Z,33.678,106,38,0,0,22,1,true
A,8,0,626729,2,0bf28fc9101f442a806c625dbdbe47c7,2026-09-18T20:33:06Z,false,1,1024,1024,1800,27797f68e2aff6e088d0300f4be9baac903ef34b71ec84116125c2fa664ff75c,1,0,user_stop,0.0,false,2026-09-18T20:38:33Z,2026-09-18T20:39:57Z,84.326,176,35,0,0,10,2,false
A,9,0,626729,2,0bf28fc9101f442a806c625dbdbe47c7,2026-09-18T20:33:06Z,false,1,1024,1024,1800,27797f68e2aff6e088d0300f4be9baac903ef34b71ec84116125c2fa664ff75c,1,0,max_steps,0.0,false,2026-09-18T20:39:57Z,2026-09-18T20:45:05Z,307.673,509,165,0,0,1,1,true
A,10,0,626729,2,0bf28fc9101f442a806c625dbdbe47c7,2026-09-18T20:33:06Z,false,1,1024,1024,1800,27797f68e2aff6e088d0300f4be9baac903ef34b71ec84116125c2fa664ff75c,1,0,user_stop,1.0,true,2026-09-18T20:45:05Z,2026-09-18T20:46:09Z,63.944,115,85,0,0,3,2,false
A,11,0,626729,2,0bf28fc9101f442a806c625dbdbe47c7,2026-09-18T20:33:06Z,false,1,1024,1024,1800,27797f68e2aff6e088d0300f4be9baac903ef34b71ec84116125c2fa664ff75c,1,0,too_many_errors,0.0,false,2026-09-18T20:46:09Z,2026-09-18T20:48:09Z,119.764,227,48,0,0,14,2,false
A,12,0,626729,2,0bf28fc9101f442a806c625dbdbe47c7,2026-09-18T20:33:06Z,false,1,1024,1024,1800,27797f68e2aff6e088d0300f4be9baac903ef34b71ec84116125c2fa664ff75c,1,0,too_many_errors,0.0,false,2026-09-18T20:48:09Z,2026-09-18T20:49:47Z,97.498,197,65,0,0,7,1,true
A,13,0,626729,2,0bf28fc9101f442a806c625dbdbe47c7,2026-09-18T20:33:06Z,false,1,1024,1024,1800,27797f68e2aff6e088d0300f4be9baac903ef34b71ec84116125c2fa664ff75c,1,0,user_stop,0.0,false,2026-09-18T20:49:47Z,2026-09-18T20:51:30Z,103.76,353,153,0,0,9,1,true
A,14,0,626729,2,0bf28fc9101f442a806c625dbdbe47c7,2026-09-18T20:33:06Z,false,1,1024,1024,1800,27797f68e2aff6e088d0300f4be9baac903ef34b71ec84116125c2fa664ff75c,1,0,max_steps,0.0,false,2026-09-18T20:51:31Z,2026-09-18T20:56:12Z,281.063,206,217,0,0,25,1,true
A,15,0,626729,2,0bf28fc9101f442a806c625dbdbe47c7,2026-09-18T20:33:06Z,false,1,1024,1024,1800,27797f68e2aff6e088d0300f4be9baac903ef34b71ec84116125c2fa664ff75c,2,1,user_stop,0.0,false,2026-09-18T21:11:56Z,2026-09-18T21:15:40Z,223.411,784,66,0,0,1,2,false
A,16,0,626729,2,0bf28fc9101f442a806c625dbdbe47c7,2026-09-18T20:33:06Z,false,1,1024,1024,1800,27797f68e2aff6e088d0300f4be9baac903ef34b71ec84116125c2fa664ff75c,1,0,max_steps,0.0,false,2026-09-18T21:15:40Z,2026-09-18T21:19:41Z,240.752,117,75,0,0,2,1,true
A,17,0,626729,2,0bf28fc9101f442a806c625dbdbe47c7,2026-09-18T20:33:06Z,false,1,1024,1024,1800,27797f68e2aff6e088d0300f4be9baac903ef34b71ec84116125c2fa664ff75c,1,0,user_stop,0.0,false,2026-09-18T21:19:41Z,2026-09-18T21:20:27Z,46.06,206,148,0,0,21,2,false
A,18,0,626729,2,0bf28fc9101f442a806c625dbdbe47c7,2026-09-18T20:33:06Z,false,1,1024,1024,1800,27797f68e2aff6e088d0300f4be9baac903ef34b71ec84116125c2fa664ff75c,1,0,user_stop,0.0,false,2026-09-18T21:20:27Z,2026-09-18T21:21:45Z,77.443,134,84,0,0,23,2,false
A,19,0,626729,2,0bf28fc9101f442a806c625dbdbe47c7,2026-09-18T20:33:06Z,false,1,1024,1024,1800,27797f68e2aff6e088d0300f4be9baac903ef34b71ec84116125c2fa664ff75c,1,0,user_stop,0.0,false,2026-09-18T21:21:45Z,2026-09-18T21:23:23Z,97.996,176,60,0,0,9,2,false
A,20,0,626729,2,0bf28fc9101f442a806c625dbdbe47c7,2026-09-18T20:33:06Z,false,1,1024,1024,1800,27797f68e2aff6e088d0300f4be9baac903ef34b71ec84116125c2fa664ff75c,1,0,too_many_errors,0.0,false,2026-09-18T21:23:23Z,2026-09-18T21:27:11Z,227.472,197,84,0,0,2,2,false
A,21,0,626729,2,0bf28fc9101f442a806c625dbdbe47c7,2026-09-18T20:33:06Z,false,1,1024,1024,1800,27797f68e2aff6e088d0300f4be9baac903ef34b71ec84116125c2fa664ff75c,1,0,max_steps,0.0,false,2026-09-18T21:27:11Z,2026-09-18T21:29:57Z,165.699,73,44,0,0,15,1,true
A,22,0,626729,2,0bf28fc9101f442a806c625dbdbe47c7,2026-09-18T20:33:06Z,false,1,1024,1024,1800,27797f68e2aff6e088d0300f4be9baac903ef34b71ec84116125c2fa664ff75c,1,0,too_many_errors,0.0,false,2026-09-18T21:29:57Z,2026-09-18T21:31:02Z,65.396,1024,43,1,0,8,1,true
A,23,0,626729,2,0bf28fc9101f442a806c625dbdbe47c7,2026-09-18T20:33:06Z,false,1,1024,1024,1800,27797f68e2aff6e088d0300f4be9baac903ef34b71ec84116125c2fa664ff75c,1,0,user_stop,0.0,false,2026-09-18T21:31:02Z,2026-09-18T21:37:10Z,367.649,927,185,0,0,15,2,false
A,24,0,626729,2,0bf28fc9101f442a806c625dbdbe47c7,2026-09-18T20:33:06Z,false,1,1024,1024,1800,27797f68e2aff6e088d0300f4be9baac903ef34b71ec84116125c2fa664ff75c,1,0,user_stop,0.0,false,2026-09-18T21:37:10Z,2026-09-18T21:40:42Z,211.566,1024,311,1,0,7,2,false
